Epoch [1/5] | Batch #1 | Batch Accuracy 68.75%
Epoch [1/5] | Batch #2 | Batch Accuracy 76.04%
Epoch [1/5] | Batch #3 | Batch Accuracy 73.61%
Epoch [1/5] | Batch #4 | Batch Accuracy 75.52%
Epoch [1/5] | Batch #5 | Batch Accuracy 75.83%
Epoch [1/5] | Batch #6 | Batch Accuracy 75.35%
Epoch [1/5] | Batch #7 | Batch Accuracy 75.89%
Epoch [1/5] | Batch #8 | Batch Accuracy 76.04%
Epoch [1/5] | Batch #9 | Batch Accuracy 75.46%
Epoch [1/5] | Batch #10 | Batch Accuracy 75.62%
Epoch [1/5] | Batch #11 | Batch Accuracy 75.19%
Epoch [1/5] | Batch #12 | Batch Accuracy 75.17%
Epoch [1/5] | Batch #13 | Batch Accuracy 75.96%
Epoch [1/5] | Batch #14 | Batch Accuracy 75.30%
Epoch [1/5] | Batch #15 | Batch Accuracy 75.28%
Epoch [1/5] | Batch #16 | Batch Accuracy 75.13%
Epoch [1/5] | Batch #17 | Batch Accuracy 75.25%
Epoch [1/5] | Batch #18 | Batch Accuracy 75.46%
Epoch [1/5] | Batch #19 | Batch Accuracy 75.77%
Epoch [1/5] | Batch #20 | Batch Accuracy 75.83%
Epoch [1/5] | Batch #21 | Batch Accuracy 75.79%
Epoch [1/5] | Batch #22 | Batch Accuracy 76.14%
Epoch [1/5] | Batch #23 | Batch Accuracy 75.91%
Epoch [1/5] | Batch #24 | Batch Accuracy 76.13%
Epoch [1/5] | Batch #25 | Batch Accuracy 76.33%
Epoch [1/5] | Batch #26 | Batch Accuracy 76.20%
Epoch [1/5] | Batch #27 | Batch Accuracy 76.47%
Epoch [1/5] | Batch #28 | Batch Accuracy 76.49%
Epoch [1/5] | Batch #29 | Batch Accuracy 76.36%
