Epoch [1/10] | Batch #1 | Batch Accuracy 21.88%
Epoch [1/10] | Batch #2 | Batch Accuracy 23.44%
Epoch [1/10] | Batch #3 | Batch Accuracy 31.25%
Epoch [1/10] | Batch #4 | Batch Accuracy 38.28%
Epoch [1/10] | Batch #5 | Batch Accuracy 46.25%
Epoch [1/10] | Batch #6 | Batch Accuracy 47.92%
Epoch [1/10] | Batch #7 | Batch Accuracy 50.89%
Epoch [1/10] | Batch #8 | Batch Accuracy 53.52%
Epoch [1/10] | Batch #9 | Batch Accuracy 55.56%
Epoch [1/10] | Batch #10 | Batch Accuracy 58.13%
Epoch [1/10] | Batch #11 | Batch Accuracy 60.80%
Epoch [1/10] | Batch #12 | Batch Accuracy 62.24%
Epoch [1/10] | Batch #13 | Batch Accuracy 63.70%
Epoch [1/10] | Batch #14 | Batch Accuracy 66.07%
Epoch [1/10] | Batch #15 | Batch Accuracy 67.92%
Epoch [1/10] | Batch #16 | Batch Accuracy 69.73%
Epoch [1/10] | Batch #17 | Batch Accuracy 71.32%
Epoch [1/10] | Batch #18 | Batch Accuracy 72.40%
Epoch [1/10] | Batch #19 | Batch Accuracy 73.85%
Epoch [1/10] | Batch #20 | Batch Accuracy 75.00%
Epoch [1/10] | Batch #21 | Batch Accuracy 75.74%
Epoch [1/10] | Batch #22 | Batch Accuracy 76.70%
Epoch [1/10] | Batch #23 | Batch Accuracy 77.58%
Epoch [1/10] | Batch #24 | Batch Accuracy 78.26%
Epoch [1/10] | Batch #25 | Batch Accuracy 79.00%
Epoch [1/10] | Batch #26 | Batch Accuracy 79.57%
Epoch [1/10] | Batch #27 | Batch Accuracy 80.32%
Epoch [1/10] | Batch #28 | Batch Accuracy 80.92%
Epoch [1/10] | Batch #29 | Batch Accuracy 81.14%
Epoch [1/10] | Batch #30 | Batch Accuracy 81.56%
Epoch [1/10] | Batch #31 | Batch Accuracy 81.96%
Epoch [1/10] | Batch #32 | Batch Accuracy 82.42%
Epoch [1/10] | Batch #33 | Batch Accuracy 82.95%
Epoch [1/10] | Batch #34 | Batch Accuracy 83.36%
Epoch [1/10] | Batch #35 | Batch Accuracy 83.75%
Epoch [1/10] | Batch #36 | Batch Accuracy 84.20%
Epoch [1/10] | Batch #37 | Batch Accuracy 84.63%
Epoch [1/10] | Batch #38 | Batch Accuracy 84.95%
Epoch [1/10] | Batch #39 | Batch Accuracy 84.94%
Epoch [1/10] | Batch #40 | Batch Accuracy 85.31%
Epoch [1/10] | Batch #41 | Batch Accuracy 85.67%
Epoch [1/10] | Batch #42 | Batch Accuracy 86.01%
Epoch [1/10] | Batch #43 | Batch Accuracy 86.12%
Epoch [1/10] | Batch #44 | Batch Accuracy 86.43%
Epoch [1/10] | Batch #45 | Batch Accuracy 86.67%
Epoch [1/10] | Batch #46 | Batch Accuracy 86.96%
Epoch [1/10] | Batch #47 | Batch Accuracy 87.23%
Epoch [1/10] | Batch #48 | Batch Accuracy 87.43%
Epoch [1/10] | Batch #49 | Batch Accuracy 87.69%
Epoch [1/10] | Batch #50 | Batch Accuracy 87.94%
Epoch [1/10] | Batch #51 | Batch Accuracy 88.05%
Epoch [1/10] | Batch #52 | Batch Accuracy 88.22%
Epoch [1/10] | Batch #53 | Batch Accuracy 88.38%
Epoch [1/10] | Batch #54 | Batch Accuracy 88.54%
Epoch [1/10] | Batch #55 | Batch Accuracy 88.75%
Epoch [1/10] | Batch #56 | Batch Accuracy 88.95%
Epoch [1/10] | Batch #57 | Batch Accuracy 89.09%
Epoch [1/10] | Batch #58 | Batch Accuracy 89.22%
Epoch [1/10] | Batch #59 | Batch Accuracy 89.41%
Epoch [1/10] | Batch #60 | Batch Accuracy 89.58%
Epoch [1/10] | Batch #61 | Batch Accuracy 89.75%
Epoch [1/10] | Batch #62 | Batch Accuracy 89.87%
Epoch [1/10] | Batch #63 | Batch Accuracy 90.03%
Epoch [1/10] | Batch #64 | Batch Accuracy 90.04%
Epoch [1/10] | Batch #65 | Batch Accuracy 90.14%
Epoch [1/10] | Batch #66 | Batch Accuracy 90.29%
Epoch [1/10] | Batch #67 | Batch Accuracy 90.39%
Epoch [1/10] | Batch #68 | Batch Accuracy 90.53%
Epoch [1/10] | Batch #69 | Batch Accuracy 90.67%
Epoch [1/10] Train Loss: 0.3257 | Train Acc: 90.67% | Val Acc: 97.12% | Val Loss: 0.10%
Epoch [2/10] | Batch #1 | Batch Accuracy 100.00%
Epoch [2/10] | Batch #2 | Batch Accuracy 100.00%
Epoch [2/10] | Batch #3 | Batch Accuracy 100.00%
Epoch [2/10] | Batch #4 | Batch Accuracy 100.00%
Epoch [2/10] | Batch #5 | Batch Accuracy 100.00%
Epoch [2/10] | Batch #6 | Batch Accuracy 100.00%
Epoch [2/10] | Batch #7 | Batch Accuracy 100.00%
Epoch [2/10] | Batch #8 | Batch Accuracy 99.61%
Epoch [2/10] | Batch #9 | Batch Accuracy 99.31%
Epoch [2/10] | Batch #10 | Batch Accuracy 99.06%
Epoch [2/10] | Batch #11 | Batch Accuracy 99.15%
Epoch [2/10] | Batch #12 | Batch Accuracy 99.22%
Epoch [2/10] | Batch #13 | Batch Accuracy 99.28%
Epoch [2/10] | Batch #14 | Batch Accuracy 99.33%
Epoch [2/10] | Batch #15 | Batch Accuracy 99.38%
Epoch [2/10] | Batch #16 | Batch Accuracy 99.22%
Epoch [2/10] | Batch #17 | Batch Accuracy 99.26%
Epoch [2/10] | Batch #18 | Batch Accuracy 99.13%
Epoch [2/10] | Batch #19 | Batch Accuracy 98.85%
Epoch [2/10] | Batch #20 | Batch Accuracy 98.91%
Epoch [2/10] | Batch #21 | Batch Accuracy 98.96%
Epoch [2/10] | Batch #22 | Batch Accuracy 99.01%
Epoch [2/10] | Batch #23 | Batch Accuracy 99.05%
Epoch [2/10] | Batch #24 | Batch Accuracy 99.09%
Epoch [2/10] | Batch #25 | Batch Accuracy 99.12%
Epoch [2/10] | Batch #26 | Batch Accuracy 99.16%
Epoch [2/10] | Batch #27 | Batch Accuracy 99.19%
Epoch [2/10] | Batch #28 | Batch Accuracy 99.22%
Epoch [2/10] | Batch #29 | Batch Accuracy 99.25%
Epoch [2/10] | Batch #30 | Batch Accuracy 99.27%
Epoch [2/10] | Batch #31 | Batch Accuracy 99.29%
Epoch [2/10] | Batch #32 | Batch Accuracy 99.32%
Epoch [2/10] | Batch #33 | Batch Accuracy 99.34%
Epoch [2/10] | Batch #34 | Batch Accuracy 99.36%
Epoch [2/10] | Batch #35 | Batch Accuracy 99.38%
Epoch [2/10] | Batch #36 | Batch Accuracy 99.39%
Epoch [2/10] | Batch #37 | Batch Accuracy 99.41%
Epoch [2/10] | Batch #38 | Batch Accuracy 99.42%
Epoch [2/10] | Batch #39 | Batch Accuracy 99.44%
Epoch [2/10] | Batch #40 | Batch Accuracy 99.45%
Epoch [2/10] | Batch #41 | Batch Accuracy 99.47%
Epoch [2/10] | Batch #42 | Batch Accuracy 99.40%
Epoch [2/10] | Batch #43 | Batch Accuracy 99.42%
Epoch [2/10] | Batch #44 | Batch Accuracy 99.43%
Epoch [2/10] | Batch #45 | Batch Accuracy 99.44%
Epoch [2/10] | Batch #46 | Batch Accuracy 99.46%
Epoch [2/10] | Batch #47 | Batch Accuracy 99.47%
Epoch [2/10] | Batch #48 | Batch Accuracy 99.41%
Epoch [2/10] | Batch #49 | Batch Accuracy 99.36%
Epoch [2/10] | Batch #50 | Batch Accuracy 99.38%
Epoch [2/10] | Batch #51 | Batch Accuracy 99.26%
Epoch [2/10] | Batch #52 | Batch Accuracy 99.28%
Epoch [2/10] | Batch #53 | Batch Accuracy 99.29%
Epoch [2/10] | Batch #54 | Batch Accuracy 99.31%
Epoch [2/10] | Batch #55 | Batch Accuracy 99.32%
Epoch [2/10] | Batch #56 | Batch Accuracy 99.33%
Epoch [2/10] | Batch #57 | Batch Accuracy 99.34%
Epoch [2/10] | Batch #58 | Batch Accuracy 99.35%
Epoch [2/10] | Batch #59 | Batch Accuracy 99.36%
Epoch [2/10] | Batch #60 | Batch Accuracy 99.38%
Epoch [2/10] | Batch #61 | Batch Accuracy 99.39%
Epoch [2/10] | Batch #62 | Batch Accuracy 99.40%
Epoch [2/10] | Batch #63 | Batch Accuracy 99.40%
Epoch [2/10] | Batch #64 | Batch Accuracy 99.37%
Epoch [2/10] | Batch #65 | Batch Accuracy 99.38%
Epoch [2/10] | Batch #66 | Batch Accuracy 99.38%
Epoch [2/10] | Batch #67 | Batch Accuracy 99.39%
Epoch [2/10] | Batch #68 | Batch Accuracy 99.40%
Epoch [2/10] | Batch #69 | Batch Accuracy 99.41%
Epoch [2/10] Train Loss: 0.0374 | Train Acc: 99.41% | Val Acc: 98.32% | Val Loss: 0.06%
Epoch [3/10] | Batch #1 | Batch Accuracy 100.00%
Epoch [3/10] | Batch #2 | Batch Accuracy 100.00%
Epoch [3/10] | Batch #3 | Batch Accuracy 100.00%
